,NAME,RPG,GP,MPG,PPG,APG,SPG,BPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TPG,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
,Nikola Jokić,9.0,3,36.9,18.0,9.3,2.3,1.3,7.0,16.3,42.9,1.3,3.3,40.0,2.7,3.7,72.7,50.1,0.7,8.3,3.7,111,54,27,28,7,4,11,9,+35
,Christian Braun,6.7,3,38.4,15.3,2.7,1.0,0.0,6.0,10.0,60.0,2.0,3.7,54.5,1.3,2.7,50.0,68.6,2.7,4.0,0.0,115,46,20,8,3,0,0,9,+33
,Jamal Murray,6.0,3,42.0,26.7,5.7,1.0,1.7,11.0,20.0,55.0,3.3,7.7,43.5,1.3,1.7,80.0,64.3,0.0,6.0,2.7,126,80,18,17,3,5,8,5,+38
,Russell Westbrook,5.3,3,29.1,17.0,4.0,1.7,0.0,6.0,11.3,52.9,2.3,4.7,50.0,2.7,3.7,72.7,65.7,1.7,3.7,2.7,87,51,16,12,5,0,8,10,+2
,Aaron Gordon,4.3,3,37.7,21.3,2.7,0.7,0.7,8.3,14.3,58.1,0.7,3.7,18.2,4.0,4.3,92.3,65.7,2.7,1.7,1.3,113,64,13,8,2,2,4,10,+34
,Michael Porter J,3.7,3,30.5,11.3,0.3,0.7,0.7,4.3,8.7,50.0,2.3,5.0,46.7,0.3,0.7,50.0,63.2,0.0,3.7,0.0,91,34,11,1,2,2,0,6,+41
,Peyton Watson,2.7,3,12.2,6.0,0.3,0.7,1.0,2.7,3.7,72.7,0.7,0.7,100.0,0.0,0.0,,81.8,1.3,1.3,0.0,37,18,8,1,2,3,0,3,-8
,DeAndre Jordan,2.3,3,6.5,0.7,0.7,0.0,0.3,0.3,0.3,100.0,0.0,0.0,,0.0,0.0,,100.0,0.0,2.3,0.3,19,2,7,2,0,1,1,5,-4
,Zeke Nnaji,0.5,2,2.0,1.0,0.0,0.0,0.5,0.0,0.0,,0.0,0.0,,1.0,1.5,66.7,75.8,0.5,0.0,0.0,4,2,1,0,0,1,0,0,-2
,Hunter Tyson,0.5,2,2.0,1.0,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,,50.0,0.5,0.0,0.0,4,2,1,0,0,0,0,0,-2
,Jalen Pickett,0.5,2,2.6,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.5,0.5,5,0,1,0,0,0,1,0,-9
