,NAME,MPG,3PM,GP,PPG,RPG,APG,SPG,BPG,FGM,FGA,FG%,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TPG,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
,Jewell LoydJ. Loyd,24.2,3.3,6,15.2,2.0,1.5,1.3,0.5,5.0,10.5,47.6,7.7,43.5,1.8,2.2,84.6,66.2,0.8,1.2,1.5,145,91,12,9,8,3,9,11,+26
,Allisha GrayA. Gray,33.9,2.8,6,18.7,4.2,3.2,1.8,0.3,6.2,13.0,47.4,5.7,50.0,3.5,4.3,80.8,62.6,0.5,3.7,2.0,203,112,25,19,11,2,12,16,+69
,Jackie YoungJ. Young,30.6,2.5,6,18.0,4.5,6.5,2.0,0.0,6.5,12.5,52.0,5.8,42.9,2.5,2.8,88.2,65.5,1.3,3.2,2.3,184,108,27,39,12,0,14,14,+66
,Bria HartleyB. Hartley,23.6,2.3,6,11.8,1.7,3.3,0.7,0.0,3.7,9.3,39.3,5.2,45.2,2.2,3.2,68.4,55.2,0.2,1.5,1.7,142,71,10,20,4,0,10,14,-7
,Jonquel JonesJ. Jones,28.7,2.1,7,15.4,7.6,3.0,0.3,1.0,5.6,10.9,51.3,4.1,51.7,2.1,2.4,88.2,64.7,0.6,7.0,2.6,201,108,53,21,2,7,18,19,-2
,Zia CookeZ. Cooke,12.5,2.0,1,8.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,3.0,66.7,0.0,0.0,,100.0,0.0,0.0,2.0,12,8,0,0,0,0,2,3,-11
,Marina MabreyM. Mabrey,27.7,2.0,6,14.7,4.2,3.7,0.5,0.2,5.3,15.3,34.8,7.2,27.9,2.0,2.0,100.0,45.2,1.3,2.8,3.7,166,88,25,22,3,1,22,15,-21
,Maya CaldwellM. Caldwell,25.0,2.0,5,9.4,2.8,3.0,1.8,0.4,3.4,6.8,50.0,4.2,47.6,0.6,0.8,75.0,65.7,0.4,2.4,0.8,125,47,14,15,9,2,4,10,+28
,Nneka OgwumikeN. Ogwumike,29.8,2.0,6,22.0,6.3,3.2,0.3,0.2,8.5,15.2,56.0,4.7,42.9,3.0,4.2,72.0,64.7,0.8,5.5,2.2,179,132,38,19,2,1,13,12,-36
,Sonia CitronS. Citron,30.4,1.9,7,17.6,3.1,2.6,1.7,0.6,6.0,11.6,51.9,4.0,46.4,3.7,4.7,78.8,64.4,0.7,2.4,1.9,212,123,22,18,12,4,13,10,-21
,Naz HillmonN. Hillmon,32.1,1.8,6,13.5,8.5,3.3,0.3,0.8,4.7,9.5,49.1,5.8,31.4,2.3,2.5,93.3,63.7,2.7,5.8,1.8,192,81,51,20,2,5,11,12,+57
,Sabrina IonescuS. Ionescu,33.1,1.6,7,23.1,6.6,4.7,1.6,0.4,8.0,16.9,47.5,5.9,26.8,5.6,6.0,92.9,59.3,1.4,5.1,2.7,232,162,46,33,11,3,19,12,-6
,Paige BueckersP. Bueckers,32.6,1.5,4,21.0,5.0,4.8,1.8,0.0,7.5,15.3,49.2,4.3,35.3,4.5,4.8,94.7,60.6,1.0,4.0,1.0,130,84,20,19,7,0,4,5,+2
,Erica WheelerE. Wheeler,29.6,1.5,6,13.2,2.0,4.5,2.0,0.3,5.2,12.5,41.3,5.5,27.3,1.3,1.7,80.0,49.7,0.2,1.8,2.8,177,79,12,27,12,2,17,19,+24
,Jacy SheldonJ. Sheldon,22.4,1.4,5,7.0,2.6,2.0,1.4,0.4,2.6,5.6,46.4,3.0,46.7,0.4,0.4,100.0,60.6,0.6,2.0,0.6,112,35,13,10,7,2,3,9,+31
,Natasha CloudN. Cloud,31.4,1.3,7,10.0,3.4,5.7,1.0,0.3,3.9,8.9,43.5,3.3,39.1,1.0,1.3,77.8,53.1,0.3,3.1,1.6,220,70,24,40,7,2,11,24,+5
,Marine JohannesM. Johannes,21.0,1.3,7,6.7,1.7,2.0,0.6,0.1,2.3,6.3,36.4,4.6,28.1,0.9,1.0,85.7,49.9,0.3,1.4,0.9,147,47,12,14,4,1,6,5,+22
,Jordin CanadaJ. Canada,31.9,1.2,5,16.0,3.6,7.4,2.0,0.2,5.2,11.0,47.3,4.0,30.0,4.4,5.6,78.6,59.4,0.4,3.2,3.0,160,80,18,37,10,1,15,9,+74
,Luisa GeiselsoderL. Geiselsoder,22.6,1.2,6,7.7,5.5,1.5,0.7,0.5,3.2,7.5,42.2,3.8,30.4,0.2,0.3,50.0,50.1,1.0,4.5,0.5,136,46,33,9,4,3,3,11,-27
,Te-Hina PaopaoT. Paopao,23.3,1.2,6,7.0,2.2,3.3,0.7,0.3,2.8,6.5,43.6,3.0,38.9,0.2,0.3,50.0,52.7,0.0,2.2,1.3,140,42,13,20,4,2,8,8,+32
,Chelsea GrayC. Gray,30.1,1.0,6,8.3,4.3,5.7,1.5,1.0,2.5,7.0,35.7,3.7,27.3,2.3,2.8,82.4,50.5,0.5,3.8,3.2,180,50,26,34,9,6,19,13,+50
,Aaliyah NyeA. Nye,14.5,1.0,6,3.3,2.3,0.5,0.0,0.3,1.2,4.0,29.2,3.2,31.6,0.0,0.0,,41.7,0.5,1.8,0.7,87,20,14,3,0,2,4,2,-11
,Skylar DigginsS. Diggins,30.0,1.0,6,9.7,4.0,6.3,1.0,1.0,3.7,10.3,35.5,3.2,31.6,1.3,2.0,66.7,43.1,0.5,3.5,1.7,180,58,24,38,6,6,10,11,-17
,Breanna StewartB. Stewart,3.5,1.0,1,3.0,1.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,100.0,0.0,0.0,,75.0,0.0,1.0,0.0,3,3,1,0,0,0,0,0,-2
,Sug SuttonS. Sutton,26.0,0.9,7,8.1,1.9,3.7,0.6,0.0,3.0,7.9,38.2,3.4,25.0,1.3,1.3,100.0,48.3,0.0,1.9,2.3,182,57,13,26,4,0,16,9,+1
